Track ID,Track Name,Artists,Album Name,Release Date,Explicit,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Duration_ms
2R6bfevr6LdnReayEggKKT,No Pares,Standly,11/11,2022-11-11,True,40,0.0139,0.749,0.634,2.14e-05,0.149,-4.339,0.0647,89.997,0.651,156667
0dwd3OiNzdFDU5QRyNuKOw,Diabla,Standly,11/11,2022-11-11,True,39,0.12,0.837,0.79,0.000466,0.298,-3.818,0.187,96.99,0.614,145361
5J6MhWMuRQsZwo9MtLG31T,Perrea,Standly,11/11,2022-11-11,True,45,0.0529,0.835,0.731,1.16e-05,0.0955,-5.245,0.0752,95.011,0.818,136373
6NNx8nJJOsxxLVWPlh41S5,Mutant Disco,Maceo Plex,Mutant Series,2019-03-29,False,28,0.0345,0.839,0.505,0.835,0.0868,-8.495,0.0692,124.013,0.391,419898
3pVTSP5nplKHLbOQi4QRsw,Mutant DX,Maceo Plex,Mutant Series,2019-03-29,False,17,0.00136,0.749,0.786,0.842,0.114,-10.114,0.0423,128.009,0.702,340069
5jtJFKwosksmshRB7amu1g,Mutant Romance,Maceo Plex,Mutant Series,2019-03-29,False,15,0.00232,0.741,0.708,0.796,0.0653,-7.143,0.0465,126.019,0.601,404701
6hIXNRNOFlnvyqk4XjADrm,Speranza,MRAK,Speranza,2023-11-24,False,41,0.0041,0.525,0.923,0.863,0.109,-6.688,0.0587,123.975,0.0373,311613
0wPKDeY4fZXT6k9bzV0kx0,That's Hilarious,Charlie Puth,CHARLIE,2022-10-07,True,73,0.739,0.713,0.442,0.0,0.112,-5.909,0.0604,108.038,0.546,144934
3E9es0SK2EusrHA7IaO7Zu,Charlie Be Quiet!,Charlie Puth,CHARLIE,2022-10-07,False,56,0.205,0.753,0.662,3.66e-06,0.0851,-4.25,0.0702,94.958,0.466,128364
5Q4lCfjJ1aht8YZOGFbC5U,Light Switch,Charlie Puth,CHARLIE,2022-10-07,False,52,0.105,0.689,0.627,0.000321,0.0905,-5.692,0.308,184.008,0.905,187704
62qRT4tWMJrHJjnWyKPFQx,Abismo,"Costa, DRED BEY",Salvaje,2023-03-31,True,32,0.782,0.63,0.634,0.0,0.0849,-7.276,0.252,123.919,0.735,181346
5xgHJoKv2ZAmOyt73ufzba,Dicen Que Soy el Diablo,"Costa, DRED BEY",Salvaje,2023-03-31,True,36,0.69,0.645,0.895,0.114,0.0949,-5.437,0.178,179.893,0.278,175917
5jLnujbLiLX37n0BygYXre,Suicida,"Costa, DRED BEY",Salvaje,2023-03-31,True,35,0.272,0.78,0.74,0.00272,0.69,-5.289,0.0893,139.933,0.78,156000
4jb6vGd9I1a2dltMYjsDYB,NO SON TÚ,Soge Culebra,STORM,2023-10-13,False,47,0.431,0.68,0.463,1.42e-05,0.584,-8.871,0.11,123.938,0.473,195484
0qoHPLriSSpcNTjQWiWVDq,NEBULOSA,Soge Culebra,STORM,2023-10-13,False,45,0.121,0.883,0.566,0.000128,0.11,-7.27,0.072,127.961,0.347,183750
1GhGiRIGShDjySWEDUtk3A,UNA ÚLTIMA VEZ,"Soge Culebra, Saiko",STORM,2023-10-13,False,55,0.153,0.616,0.719,0.0,0.462,-5.455,0.116,173.875,0.479,180690
4L5aysnpEXU7YtRU8HQ3GI,Mini Skirt,"WILL K, Shift K3Y",Mini Skirt,2023-11-10,False,44,0.00152,0.821,0.815,0.8,0.283,-3.894,0.0933,127.983,0.875,151875
1SrfJ6mbvp7BP7hD3DlnMZ,Nos Fuimos,FMK,Desde el Espacio,2022-03-19,False,25,0.0768,0.687,0.611,6.84e-06,0.0687,-4.318,0.109,175.848,0.865,159545
2DYyTfBW8yCSBJYhOJpzrZ,Princesa,FMK,Desde el Espacio,2022-03-19,False,25,0.156,0.827,0.548,0.0,0.138,-5.282,0.0388,99.963,0.826,176400
56FLi2j4yUJavMb6ID7s3d,Pal Carajo el Amor,FMK,Desde el Espacio,2022-03-19,False,25,0.174,0.529,0.746,0.0,0.0979,-5.742,0.394,212.3,0.127,196415
04ndZkbKGthTgYSv3xS7en,Cupido,TINI,Cupido,2023-02-16,False,78,0.521,0.913,0.584,5.36e-05,0.307,-5.263,0.223,119.873,0.627,174370
0rnZOspoTCAXfvAudOdRng,Te Pido,TINI,Cupido,2023-02-16,False,68,0.207,0.677,0.627,6.82e-06,0.102,-4.097,0.0957,187.933,0.7,174894
4yPmTUkWmUfLPQLCccp0DR,Muñecas,"TINI, La Joaqui, Steve Aoki",Cupido,2023-02-16,False,70,0.0288,0.688,0.712,0.0,0.313,-4.791,0.0826,89.93,0.852,156319
1DQ8D4ZhdWxEQDxqfC0gDT,Happy - Intro,Dalmata,HAPPINESS,2022-08-19,False,15,0.665,0.845,0.869,0.0,0.0693,-6.342,0.0504,159.98,0.982,38505
0qNj4iu83JpaqKSBi2ozdp,Con Mirada y No Bala,Dalmata,HAPPINESS,2022-08-19,False,20,0.0353,0.723,0.883,6.62e-05,0.0915,-3.121,0.0921,88.987,0.948,165465
3z7WrluAnM4S1EzuFc9ymA,Nuevo Mundo,Dalmata,HAPPINESS,2022-08-19,False,27,0.00522,0.822,0.7,0.00154,0.0736,-6.034,0.149,89.008,0.651,164494
3199yn5nGLbFLUmCExPMoI,Sweet Dreams,Austin Farwell,Piano Poetry,2023-10-30,False,41,0.977,0.272,0.102,0.905,0.0954,-28.57,0.0429,73.523,0.465,99266
6rCNqt38YATJWf0flj8iRK,Waltz of the Wind,Austin Farwell,Piano Poetry,2023-10-30,False,41,0.986,0.395,0.0714,0.927,0.117,-27.845,0.0447,71.277,0.162,167167
7mfEwDyZ5jaBtX5tCJ7uPO,Dancing on Ivory,Austin Farwell,Piano Poetry,2023-10-30,False,39,0.985,0.316,0.0549,0.962,0.0918,-29.281,0.041,82.728,0.319,112679
7rK0GuQIDNZEzvX9dIW33p,Fulton St.,Frank Leen,Miłość w czasach,2023-12-01,False,24,0.822,0.413,0.284,0.742,0.185,-17.818,0.05,125.008,0.0303,49920
3yqkdKHD11qU1RAe5PQffz,Most,Frank Leen,Miłość w czasach,2023-12-01,False,26,0.091,0.722,0.782,3.85e-06,0.202,-5.621,0.0501,125.043,0.292,175680
4kg1ALc7NU6gpU0aoZzzNl,Nie rzucam słów na wiatr,Frank Leen,Miłość w czasach,2023-12-01,False,25,0.051,0.751,0.856,0.00862,0.184,-5.66,0.0764,121.985,0.649,182951
2t4SJrRZrGOEQlNDabywTw,Luz Prendía - Club Version,"J Alvarez, DJ Unic",El Toque Club Version,2023-11-30,False,24,0.103,0.707,0.875,0.0,0.144,-3.746,0.0606,94.988,0.904,138520
0DNzQupfod8PPlGDc73kvK,Junto al Amanecer - Club Version,J Alvarez,El Toque Club Version,2023-11-30,False,39,0.0108,0.618,0.83,0.0,0.169,-5.838,0.0693,175.922,0.684,147514
3o6EdR5YOFsxXtofzyBkux,Nos Conocimos - Club Version,"J Alvarez, DJ Unic",El Toque Club Version,2023-11-30,False,20,0.0626,0.784,0.794,0.0,0.2,-4.454,0.132,93.955,0.712,171868
5Tx6wEQcWcUy0oTQK2LZaW,Stripped Bare,Alyson Stoner,Stripped Bare,2019-01-25,True,22,0.457,0.662,0.533,0.0,0.12,-5.159,0.067,96.817,0.293,150928
66xH0ZJHR3GzjXdTWfpuCP,Feels Like (La La La),"Repiet, Julia Kleijn",Feels Like (La La La),2023-11-10,False,57,0.451,0.682,0.72,0.00617,0.418,-5.884,0.056,128.13,0.358,168000
376CkDVTKJBtJROXcw7i1R,God's Plan - Operación Triunfo 2018,Damion Frost,God's Plan (Operación Triunfo 2018),2018-10-31,False,8,0.108,0.704,0.722,0.0,0.11,-5.034,0.039,153.041,0.577,132255
6Jt18cyNzFXYYUUBllm7rZ,Heart Attack - Rock Version,Demi Lovato,REVAMPED,2023-09-15,False,60,0.000742,0.399,0.93,0.0,0.386,-3.259,0.264,174.108,0.453,239011
1AozLLbKi1kIKMUbY3Xk7o,Confident - Rock Version,Demi Lovato,REVAMPED,2023-09-15,True,56,0.00177,0.528,0.812,1.82e-05,0.187,-3.811,0.0981,130.015,0.341,205675
3L3IJAp60VshAFFDjdJ2FE,Sorry Not Sorry (with Slash) - Rock Version,"Demi Lovato, Slash",REVAMPED,2023-09-15,True,56,6.49e-05,0.473,0.902,0.0,0.35,-2.288,0.241,76.489,0.655,214760
4920iOTzZUrKAKMH8SaLe5,Tírense,"Baby Rasta & Gringo, Cosculluela",The Hunting,2023-10-27,True,49,0.365,0.726,0.833,0.0,0.355,-4.002,0.339,170.095,0.459,279767
2Qfjl3CypTXhSS1xKhkS6Y,Quiénes Son,"Baby Rasta & Gringo, Polaco, Lito MC Cassidy",The Hunting,2023-10-27,True,43,0.179,0.683,0.852,0.0,0.222,-3.943,0.43,171.73,0.561,317909
4sCBxMSwo4HIaeImlEtddz,Dinero Fácil,"Baby Rasta & Gringo, Pacho El Antifeka, Ñengo Flow",The Hunting,2023-10-27,True,42,0.408,0.598,0.856,0.0,0.0792,-4.365,0.201,90.013,0.593,363820
0A6rhK1bckxbfdOm1Omjq2,Quítate Eso,Justin Quiles,La Última Promesa,2021-08-19,True,44,0.0838,0.838,0.551,7.11e-06,0.0863,-2.597,0.107,81.991,0.46,166829
2YZDh5CecWx0qlFiTvqVQ9,Colorín Colorado,Justin Quiles,La Última Promesa,2021-08-19,True,68,0.219,0.677,0.813,0.0,0.18,-4.01,0.187,169.844,0.573,194989
7mmyIoIK9SZRW6pXJfwFnk,Americana,"Justin Quiles, Rauw Alejandro",La Última Promesa,2021-08-19,True,43,0.156,0.692,0.705,2e-05,0.144,-2.399,0.133,147.043,0.569,161784
5VLTGxjrYu4CVejEgYBo9X,Forced to Bend,Innellea,Picture: Innellea,2020-11-20,False,28,0.0126,0.482,0.564,0.872,0.69,-10.46,0.0455,120.074,0.0359,410965
1jflp5jRCi8mrJebQyENx8,Mars's Moon,Innellea,Picture: Innellea,2020-11-20,False,31,0.0177,0.791,0.971,0.811,0.0948,-8.716,0.0667,121.984,0.0345,413115
5iC374D4ekhNOnr5FBPDSv,Sorrow,Innellea,Picture: Innellea,2020-11-20,False,22,0.000547,0.712,0.798,0.862,0.0731,-8.803,0.0497,131.992,0.353,208525
31iamhCwbbko7u9RJByzRH,Just Tell Me - Mixed,Aurora Halal,fabric presents Mind Against (DJ Mix),2022-09-23,False,14,0.0506,0.571,0.72,0.692,0.185,-11.092,0.0309,122.155,0.199,265787
2yhVpGfZ64ofZdiTCHA9qW,Bigna - Mixed,Jonathan Kaspar,fabric presents Mind Against (DJ Mix),2022-09-23,False,10,0.0162,0.782,0.76,0.884,0.127,-12.81,0.0504,122.415,0.737,237040
1TNEYUIB5oQpOaZyOudCXw,Fatalist - Mixed,Shiffer,fabric presents Mind Against (DJ Mix),2022-09-23,False,10,0.0158,0.694,0.692,0.604,0.26,-10.385,0.0473,122.623,0.243,258200
6FbATDAwzUG6ACQ2IStOUJ,de plata,Dave Zulueta,de plata,2023-06-09,False,13,0.338,0.728,0.841,0.0,0.379,-5.291,0.115,105.844,0.683,157774
7J4UEiAV5yNeNjks5VfePH,Intimacy,Andrea Vanzo,Intimacy Vol. 1,2022-10-28,False,46,0.974,0.303,0.355,0.943,0.12,-20.068,0.0471,106.581,0.311,146925
6BWMOF1Fd3hNaRFZw2Za5B,Gabriella,Andrea Vanzo,Intimacy Vol. 1,2022-10-28,False,36,0.991,0.344,0.0132,0.947,0.0924,-32.93,0.0443,138.606,0.0639,248587
7x3pAlJzUz388yKMBNBKBC,Spring,Andrea Vanzo,Intimacy Vol. 1,2022-10-28,False,51,0.971,0.167,0.0649,0.945,0.0844,-32.576,0.0531,173.744,0.308,178712
4AanOfVKkQKYRe4nbcaVaG,Después Del Party,Dalex,Reggaetón Sex,2023-05-05,True,44,0.248,0.833,0.817,0.00097,0.0714,-4.147,0.047,94.974,0.363,162013
5RgBJX31NEVDcGUSMGBWWO,Perreándote,"Dalex, Ryan Castro, Symon Dice",Reggaetón Sex,2023-05-05,True,49,0.0823,0.653,0.868,1.91e-05,0.272,-4.059,0.0938,180.224,0.653,206667
7AdDZQQNj19gZ2vVJnL1tj,Bora Bora,Dalex,Reggaetón Sex,2023-05-05,True,40,0.113,0.734,0.696,0.0,0.0886,-4.018,0.103,92.005,0.246,151304
