Track Name,Track ID,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
NEBULOSA,0qoHPLriSSpcNTjQWiWVDq,0.883,0.566,-7.27,0.072,0.121,0.000128,0.11,0.347,127.961,183750
UNA ÚLTIMA VEZ,1GhGiRIGShDjySWEDUtk3A,0.616,0.719,-5.455,0.116,0.153,0.0,0.462,0.479,173.875,180690
Mini Skirt,4L5aysnpEXU7YtRU8HQ3GI,0.821,0.815,-3.894,0.0933,0.00152,0.8,0.283,0.875,127.983,151875
Nos Fuimos,1SrfJ6mbvp7BP7hD3DlnMZ,0.687,0.611,-4.318,0.109,0.0768,6.84e-06,0.0687,0.865,175.848,159545
Princesa,2DYyTfBW8yCSBJYhOJpzrZ,0.827,0.548,-5.282,0.0388,0.156,0.0,0.138,0.826,99.963,176400
Pal Carajo el Amor,56FLi2j4yUJavMb6ID7s3d,0.529,0.746,-5.742,0.394,0.174,0.0,0.0979,0.127,212.3,196415
Cupido,04ndZkbKGthTgYSv3xS7en,0.913,0.584,-5.263,0.223,0.521,5.36e-05,0.307,0.627,119.873,174370
Te Pido,0rnZOspoTCAXfvAudOdRng,0.677,0.627,-4.097,0.0957,0.207,6.82e-06,0.102,0.7,187.933,174894
Muñecas,4yPmTUkWmUfLPQLCccp0DR,0.688,0.712,-4.791,0.0826,0.0288,0.0,0.313,0.852,89.93,156319
Happy - Intro,1DQ8D4ZhdWxEQDxqfC0gDT,0.845,0.869,-6.342,0.0504,0.665,0.0,0.0693,0.982,159.98,38505
Con Mirada y No Bala,0qNj4iu83JpaqKSBi2ozdp,0.723,0.883,-3.121,0.0921,0.0353,6.62e-05,0.0915,0.948,88.987,165465
Nuevo Mundo,3z7WrluAnM4S1EzuFc9ymA,0.822,0.7,-6.034,0.149,0.00522,0.00154,0.0736,0.651,89.008,164494
Sweet Dreams,3199yn5nGLbFLUmCExPMoI,0.272,0.102,-28.57,0.0429,0.977,0.905,0.0954,0.465,73.523,99266
Waltz of the Wind,6rCNqt38YATJWf0flj8iRK,0.395,0.0714,-27.845,0.0447,0.986,0.927,0.117,0.162,71.277,167167
Dancing on Ivory,7mfEwDyZ5jaBtX5tCJ7uPO,0.316,0.0549,-29.281,0.041,0.985,0.962,0.0918,0.319,82.728,112679
Fulton St.,7rK0GuQIDNZEzvX9dIW33p,0.413,0.284,-17.818,0.05,0.822,0.742,0.185,0.0303,125.008,49920
Most,3yqkdKHD11qU1RAe5PQffz,0.722,0.782,-5.621,0.0501,0.091,3.85e-06,0.202,0.292,125.043,175680
Nie rzucam słów na wiatr,4kg1ALc7NU6gpU0aoZzzNl,0.751,0.856,-5.66,0.0764,0.051,0.00862,0.184,0.649,121.985,182951
Luz Prendía - Club Version,2t4SJrRZrGOEQlNDabywTw,0.707,0.875,-3.746,0.0606,0.103,0.0,0.144,0.904,94.988,138520
Junto al Amanecer - Club Version,0DNzQupfod8PPlGDc73kvK,0.618,0.83,-5.838,0.0693,0.0108,0.0,0.169,0.684,175.922,147514
Nos Conocimos - Club Version,3o6EdR5YOFsxXtofzyBkux,0.784,0.794,-4.454,0.132,0.0626,0.0,0.2,0.712,93.955,171868
Stripped Bare,5Tx6wEQcWcUy0oTQK2LZaW,0.662,0.533,-5.159,0.067,0.457,0.0,0.12,0.293,96.817,150928
Feels Like (La La La),66xH0ZJHR3GzjXdTWfpuCP,0.682,0.72,-5.884,0.056,0.451,0.00617,0.418,0.358,128.13,168000
God's Plan - Operación Triunfo 2018,376CkDVTKJBtJROXcw7i1R,0.704,0.722,-5.034,0.039,0.108,0.0,0.11,0.577,153.041,132255
Heart Attack - Rock Version,6Jt18cyNzFXYYUUBllm7rZ,0.399,0.93,-3.259,0.264,0.000742,0.0,0.386,0.453,174.108,239011
Confident - Rock Version,1AozLLbKi1kIKMUbY3Xk7o,0.528,0.812,-3.811,0.0981,0.00177,1.82e-05,0.187,0.341,130.015,205675
Sorry Not Sorry (with Slash) - Rock Version,3L3IJAp60VshAFFDjdJ2FE,0.473,0.902,-2.288,0.241,6.49e-05,0.0,0.35,0.655,76.489,214760
Tírense,4920iOTzZUrKAKMH8SaLe5,0.726,0.833,-4.002,0.339,0.365,0.0,0.355,0.459,170.095,279767
Quiénes Son,2Qfjl3CypTXhSS1xKhkS6Y,0.683,0.852,-3.943,0.43,0.179,0.0,0.222,0.561,171.73,317909
Dinero Fácil,4sCBxMSwo4HIaeImlEtddz,0.598,0.856,-4.365,0.201,0.408,0.0,0.0792,0.593,90.013,363820
Quítate Eso,0A6rhK1bckxbfdOm1Omjq2,0.838,0.551,-2.597,0.107,0.0838,7.11e-06,0.0863,0.46,81.991,166829
Colorín Colorado,2YZDh5CecWx0qlFiTvqVQ9,0.677,0.813,-4.01,0.187,0.219,0.0,0.18,0.573,169.844,194989
Americana,7mmyIoIK9SZRW6pXJfwFnk,0.692,0.705,-2.399,0.133,0.156,2e-05,0.144,0.569,147.043,161784
Forced to Bend,5VLTGxjrYu4CVejEgYBo9X,0.482,0.564,-10.46,0.0455,0.0126,0.872,0.69,0.0359,120.074,410965
Mars's Moon,1jflp5jRCi8mrJebQyENx8,0.791,0.971,-8.716,0.0667,0.0177,0.811,0.0948,0.0345,121.984,413115
Sorrow,5iC374D4ekhNOnr5FBPDSv,0.712,0.798,-8.803,0.0497,0.000547,0.862,0.0731,0.353,131.992,208525
Just Tell Me - Mixed,31iamhCwbbko7u9RJByzRH,0.571,0.72,-11.092,0.0309,0.0506,0.692,0.185,0.199,122.155,265787
Bigna - Mixed,2yhVpGfZ64ofZdiTCHA9qW,0.782,0.76,-12.81,0.0504,0.0162,0.884,0.127,0.737,122.415,237040
Fatalist - Mixed,1TNEYUIB5oQpOaZyOudCXw,0.694,0.692,-10.385,0.0473,0.0158,0.604,0.26,0.243,122.623,258200
de plata,6FbATDAwzUG6ACQ2IStOUJ,0.728,0.841,-5.291,0.115,0.338,0.0,0.379,0.683,105.844,157774
Intimacy,7J4UEiAV5yNeNjks5VfePH,0.303,0.355,-20.068,0.0471,0.974,0.943,0.12,0.311,106.581,146925
Gabriella,6BWMOF1Fd3hNaRFZw2Za5B,0.344,0.0132,-32.93,0.0443,0.991,0.947,0.0924,0.0639,138.606,248587
Spring,7x3pAlJzUz388yKMBNBKBC,0.167,0.0649,-32.576,0.0531,0.971,0.945,0.0844,0.308,173.744,178712
Después Del Party,4AanOfVKkQKYRe4nbcaVaG,0.833,0.817,-4.147,0.047,0.248,0.00097,0.0714,0.363,94.974,162013
