Track Name,Track ID,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
One - Main,0HMVTE8b6OZJsDGVawPOOC,0.69,0.809,-4.042,0.0576,0.0727,0.0,0.287,0.645,126.942,223373
Lights On,5YdRGwK9ors1WhRsjjHufT,0.577,0.601,-8.312,0.142,0.0502,0.0,0.255,0.564,152.097,248147
Turn Ya Out (feat. Lil' Jon) - Main,6rNzpKK3Br0GG6TMyKmu7B,0.653,0.758,-4.521,0.084,0.0471,0.0,0.0774,0.532,130.031,224120
HYAENA,0hL9gOw6XBWsygEUcVjxEc,0.608,0.754,-5.277,0.0719,0.0305,0.0,0.119,0.455,97.071,222085
THANK GOD,1PH2MDbcBAU094DlgTIND1,0.657,0.553,-7.08,0.0394,0.254,0.0,0.129,0.576,134.925,184889
MODERN JAM (feat. Teezo Touchdown),3KCNiDi9Pza6ZD8FggNoaw,0.517,0.539,-6.474,0.038,0.000564,1.4e-05,0.537,0.531,108.984,255413
The Last Time,05viSJk3lY45GOieqQqLgl,0.626,0.963,-2.26,0.0572,0.0277,0.837,0.215,0.495,138.0,309565
Cirrosis,0DrlRbxtPU5vW3L2hbrtNZ,0.434,0.327,-13.398,0.0794,0.274,0.937,0.0976,0.0397,129.968,192000
C.D.H,2Hy8mNqQSnAWxpF5KBHTCr,0.718,0.679,-10.867,0.316,0.0624,0.57,0.098,0.417,168.783,96000
Coma,1EP0fZ4N68TCSpbk0HrAa8,0.653,0.71,-8.581,0.0422,0.0054,0.725,0.0571,0.482,133.057,230977
Dreamcatcher - Mixed,0yCQL5ddb86N8GWI5qrEQY,0.783,0.592,-11.381,0.0464,0.000268,0.884,0.108,0.345,127.017,370240
Conscious - Mixed,0FY44nKtoQEhb4XR23aDfN,0.788,0.691,-13.193,0.0586,0.0295,0.793,0.113,0.159,126.977,404720
Young & Stupid - Mixed,1pJzSnoM0n2iPX1BtXlMki,0.833,0.608,-10.14,0.0496,0.00272,0.771,0.106,0.149,127.011,392840
Movie,72hCP2qsad7CAlvkocreur,0.836,0.645,-10.859,0.0903,0.103,0.00808,0.248,0.733,101.985,197736
Honeymoon Avenue,5UkqH9t76GxI48YHA0thsy,0.688,0.611,-5.298,0.0423,0.208,0.0,0.337,0.478,125.015,339735
Baby I,6qT31f20CXWq0zkz4BME32,0.714,0.775,-3.743,0.0382,0.0208,0.0,0.367,0.516,101.93,197603
Right There (feat. Big Sean),5aKqhRdBmC5Qp2c3oek9ft,0.652,0.836,-3.3,0.101,0.138,0.0,0.112,0.593,77.974,247082
Calamity,1hGHHKR7KFF2Wl78LBgKBz,0.542,0.291,-14.415,0.105,0.94,0.000197,0.105,0.0428,94.882,187560
Better,5CBnWXD8M7e8Q6WubFLtXy,0.696,0.409,-7.135,0.235,0.354,0.0,0.132,0.0962,84.652,174520
Outside,6f8cT6qJ1KqqVXjx0xRJBt,0.475,0.343,-9.407,0.0397,0.0957,0.00024,0.149,0.0536,113.016,208920
Sinner,1WumDA51R5dHvmRVhmoP6t,0.707,0.934,-5.911,0.0395,0.0967,0.207,0.085,0.546,135.99,191166
Sinner - Extended,2EEnT5rCeO7GsJDGSCFfSY,0.771,0.989,-6.158,0.0573,0.00128,0.802,0.0504,0.872,135.986,283897
Talking To A Stranger,5fqnDLnhFM2hkZZrdXlk7M,0.724,0.672,-7.368,0.0741,0.277,1.48e-05,0.0739,0.125,117.926,134746
Intro,5zZebRXTe2T7LL9FrivPXX,0.222,0.171,-20.251,0.0387,0.994,0.8,0.0721,0.0363,136.165,306000
Mayday,3YqpzWZkZkhElz82muo7n2,0.156,0.453,-15.492,0.0498,0.993,0.858,0.0735,0.0808,104.461,475714
Untitled Song,4rM0y8UmxdKv1Ham7pFVHM,0.263,0.0293,-23.794,0.0356,0.986,0.919,0.151,0.0392,69.606,319357
Royal Rumble (Se Van),6vbBeine7SvXpvLOcQUEWF,0.826,0.82,-4.99,0.242,0.247,0.0,0.106,0.764,93.994,376027
Lento,2LDky5d1Xn8Y0ExCqaGUDs,0.7,0.855,-4.977,0.0431,0.128,0.000804,0.176,0.822,81.985,196800
Hello,6A2u0AuWXFVsEyi7rgDFEf,0.756,0.86,-3.239,0.0437,0.244,0.000475,0.0839,0.793,93.984,206160
NO VUELVO A CAER,71mPUsIl4zcHwiJKYB24op,0.716,0.416,-4.86,0.0667,0.067,0.0,0.0962,0.183,90.043,148036
Lágrimas | CROSSOVER #4,1lSayCmr2lS6ndxELoabIG,0.771,0.656,-4.078,0.065,0.0863,0.0,0.115,0.609,93.069,167419
Mentiras | CROSSOVER #3,7tRvzdzYXZaxyTfy8CnT7v,0.696,0.696,-5.679,0.0531,0.0164,0.0,0.104,0.86,150.028,168000
Un Finde | CROSSOVER #2,0zNBTwX9LaDcqYMELP3sDj,0.528,0.659,-3.623,0.0604,0.0613,0.0,0.219,0.8,192.055,162500
lento/rápido,4isCOGxBND4Nv5gIH3JMJr,0.524,0.729,-5.624,0.0489,0.757,0.00831,0.121,0.296,125.063,162240
Te Pienso,7zllNkjJSYfKr4eqNfSDRb,0.696,0.697,-6.453,0.164,0.479,1.87e-06,0.0907,0.553,177.916,182840
Canta,777lIDpqscIw4yFOs0Ascd,0.723,0.855,-4.964,0.045,0.00913,0.0,0.128,0.56,100.009,219707
Tócate Tú Misma,1M3U4MSVKq5NRWr2SU8kTj,0.779,0.654,-5.476,0.0916,0.0701,1.2e-05,0.121,0.815,80.084,183707
SUCKS TO BE YOU,6p5e9Itrj5xLhywPWV5O5w,0.564,0.317,-7.211,0.041,0.992,0.0137,0.375,0.851,174.258,43613
SAD B!TCH,1fOrQuR3jJW2dqMPbDUdL3,0.544,0.692,-3.207,0.155,0.296,0.0,0.131,0.618,193.954,132794
PSYCHO,7nDWp3W9qEXDVhlg2FVOFV,0.506,0.666,-4.999,0.372,0.014,0.0,0.0271,0.69,81.749,162667
Phillie y Botella (Remix),4mXTeip21AJN3DhII4iMVg,0.778,0.651,-8.648,0.0449,0.194,0.0,0.103,0.761,114.988,288004
ESE CULITO,1Ph3gk6SRAHRzecyfAVJJx,0.799,0.583,-10.267,0.0472,0.217,0.0,0.07,0.549,97.003,222693
En El Jacuzzi,7ylrNnMLZSHvG8tBOgqZ4o,0.859,0.492,-9.757,0.0933,0.126,0.0,0.0982,0.895,96.973,164543
Rumba,5AiGpfWDQCb0DdVfMkA9W9,0.776,0.813,-5.323,0.146,0.0994,6.16e-05,0.097,0.397,93.998,99000
Septiembre,2vitZ5fxaFmnYmzrzWooaV,0.765,0.556,-9.078,0.272,0.55,2.13e-05,0.105,0.225,90.995,219167
Hasta que salga el sol,6xRglH0lCDxiHEjbDRxT3v,0.903,0.476,-8.298,0.0532,0.00193,0.0343,0.285,0.825,119.974,247000
Serenity In Silence,1iqVrZ20FO0PwsNqc5ch6X,0.773,0.123,-15.417,0.0532,0.888,0.738,0.11,0.35,115.983,195593
Heavenly Piano Visions Of Tranquility,3HzI051t8tJxT1zoaoQL7e,0.57,0.186,-15.787,0.0494,0.879,0.92,0.0983,0.405,75.995,126357
Gettin Older,643DkpUgpmOl5ExWam44ft,0.671,0.191,-15.103,0.0468,0.811,0.963,0.111,0.37,136.021,134191
Getting Better,75hZkSXmSecpkmSkgcbozB,0.554,0.352,-12.414,0.0492,0.974,0.94,0.118,0.256,146.041,63271
Strangers By Nature,13CVSGLSFl4UxpDVR6u3dq,0.387,0.253,-8.901,0.0336,0.798,0.000159,0.0848,0.134,68.004,182163
Easy On Me,46IZ0fSY2mpAiktS3KOqds,0.604,0.366,-7.519,0.0282,0.578,0.0,0.133,0.13,141.981,224695
My Little Love,2DuPBbS5mIldXnh7Wum8Cy,0.339,0.492,-10.661,0.0559,0.829,0.00377,0.147,0.102,151.865,389107
Made In Qatar,57VSdN8FQk5yaV83U7fBXU,0.847,0.805,-5.04,0.0734,0.197,0.000656,0.105,0.384,140.054,150027
Baccarat,74ORZ2qrQK0pDL8rzoiuyr,0.766,0.659,-4.203,0.26,0.115,0.0,0.154,0.781,177.998,197180
El Plan,2XNtRxyRdSdhNLMJAeq8nS,0.823,0.751,-5.131,0.107,0.0323,1.08e-05,0.102,0.767,172.004,226725
INTRO,0rlFlRLU4Ko1qLpKWrjzNo,0.643,0.892,-4.176,0.0756,0.00525,0.0,0.75,0.259,98.102,116308
HEY GYAL,3CcB9kguYY2FDsh1xrADre,0.714,0.62,-7.228,0.219,0.119,0.0,0.111,0.319,92.005,157827
C.R.E.A.M,6QeKRjr8Bn3jh7wH0PHhnA,0.714,0.62,-7.228,0.219,0.119,0.0,0.111,0.319,92.005,157827
History,4d1fa0AVA4guKRZyRauYIw,0.677,0.722,-5.12,0.24,0.343,0.0,0.348,0.653,112.908,212815
PTSD (feat. T-Pain),4C0To3ZeNhQwiqukMJim27,0.697,0.599,-5.83,0.0737,0.107,0.0,0.126,0.544,113.086,238561
Believer,6NBghUX83oPtu1mkq3vtWU,0.471,0.718,-4.419,0.0729,0.392,0.0,0.203,0.541,144.61,240928
The Strange One,5HdI4hj7DvV1kf2mzdxAPX,0.273,0.276,-14.277,0.0436,0.974,0.775,0.0959,0.382,171.078,60361
Rondo I,5AwyJVO4ZOOPR6t4rg6Wbi,0.307,0.0571,-30.71,0.0474,0.995,0.928,0.0959,0.438,82.14,53897
No Coward Soul Is Mine,61KrJzjKheK8vZBecHkbno,0.603,0.298,-13.802,0.0272,0.958,0.535,0.0977,0.29,92.049,95340
High and I Like It,0FBdJP7yzvq88bG1keGgt4,0.809,0.765,-4.758,0.0484,0.069,0.327,0.0828,0.613,128.005,223379
Tú y Yo,7K3YkUDC9RJAMMLNi0FRVe,0.495,0.755,-5.333,0.0562,0.127,0.000591,0.39,0.447,173.861,177759
Smash - Explicit - 3:54,2g7Grfc7vOg9UyUbb62Foi,0.661,0.576,-11.029,0.273,0.00996,0.0,0.129,0.676,96.064,232000
Smash - Radio,6s1tjrSReaLpgabbdeLsjf,0.436,0.58,-11.013,0.371,0.00914,0.0,0.102,0.669,97.853,232000
Smash - Instrumental,2acStN7z11bv6nI9bpU63O,0.758,0.437,-13.03,0.11,0.000339,0.308,0.48,0.525,95.965,232000
Hey Angel,4fLTtg48X0QtKrj0Jv8I3v,0.523,0.883,-2.956,0.0365,0.0202,0.0,0.116,0.35,92.215,240000
Drag Me Down,2K87XMYnUMqLcX3zvtAF4G,0.73,0.703,-5.672,0.0369,0.109,0.0,0.0657,0.595,138.113,192120
Perfect,3NLnwwAQbbFKcEcV8hDItk,0.647,0.823,-5.231,0.0762,0.0598,0.0,0.119,0.396,99.933,230333
Changes,4cwGjuklrJn4JLzXFpUC3P,0.586,0.361,-6.506,0.0339,0.785,0.0,0.154,0.506,141.567,102361
Still,11ZVX9aMH4HnP3D6JuvHxL,0.584,0.654,-5.942,0.0579,0.426,0.0,0.156,0.346,97.862,210373
MCE (Man Crush Everyday),2Z5avrRA5DXZwTQI8OCfR2,0.569,0.529,-6.851,0.0984,0.281,0.0,0.128,0.314,149.841,235893
On Tonight,11ol2UCyVvdV0XtuSksoxx,0.826,0.907,-4.354,0.0738,0.105,0.0,0.0449,0.961,117.466,185440
PERREO FURIOSO,2NAjBeyMUrba97IXdLVMqp,0.79,0.578,-4.863,0.106,0.135,0.0021,0.143,0.782,90.008,152280
AUTOMÁTICO,1K1JosFYBCtBUmdRLhFWqr,0.68,0.808,-3.854,0.224,0.0911,2.23e-06,0.205,0.868,176.131,175317
CUANDO HACEMOS EL AMOR,5NdRUKHYRteqJ7DNaSFbRJ,0.638,0.606,-3.982,0.0901,0.316,0.0,0.367,0.354,151.86,214009
Intro With Swizz - Skit,42nXC7Dau2SBHAQxtvro4r,0.681,0.417,-23.463,0.5,0.969,2.14e-05,0.379,0.0711,93.091,18594
Cowboy,0z9HF4VbKHU7WpQBM8vm4g,0.781,0.809,-2.768,0.27,0.0164,0.0,0.192,0.674,83.173,195164
Who's That Girl?,7dlpPjopQ2cHgkuK7CCN5W,0.771,0.843,-4.351,0.182,0.0137,0.000518,0.0664,0.529,96.42,281907
Future Nostalgia,3iYNJX4FTRGlfMQySjlGNr,0.875,0.813,-4.502,0.0579,0.00618,0.0,0.321,0.859,114.993,184882
Don't Start Now,2FlcxnvybdwpaMmMhaRtSN,0.793,0.793,-4.521,0.083,0.0123,0.0,0.0951,0.679,123.95,183290
Cool,4Ulqu89XempybuL8ApUeqL,0.469,0.785,-4.015,0.0664,0.133,1.55e-06,0.0931,0.79,89.719,209583
Skinny Love,2NgiF6eqvymW9cKT0HPlg3,0.703,0.682,-7.87,0.199,0.186,3.96e-05,0.122,0.274,99.994,137705
Don't Run Away,6knXMt7UIPPJveAtsP1Dq4,0.747,0.801,-6.172,0.0493,0.0783,0.0,0.0656,0.713,126.798,176253
Guardian Angel,6OYhXMCDHZ2FYJ7wozgob4,0.564,0.934,-6.37,0.203,0.0127,0.0,0.301,0.329,132.031,222133
Me And You,33pEKWX4isAp2xAp82gzbj,0.619,0.894,-5.127,0.0457,0.183,9.48e-06,0.172,0.676,92.015,216600
TAKE IT OFF,7zp9FOU4cjFdGN1zdWTvcB,0.884,0.707,-6.607,0.202,0.000502,0.258,0.363,0.582,127.013,194604
Południowy Biegun,0Ywnnq7lpBEmMTzPsj8ZxC,0.618,0.818,-7.054,0.038,0.000377,0.0,0.121,0.554,142.85,174545
Zimowy Bal,2Rwtbjvj7QisnGnsqgOsi7,0.651,0.453,-10.212,0.0251,0.579,3.89e-05,0.168,0.423,108.071,130778
Tyle Lat,1QiwzpMh0z8K3z59VZJInv,0.728,0.854,-6.361,0.0349,0.0138,0.0,0.154,0.426,125.947,131429
Miura P400,78whTQUB0qWESEYhVJcm4f,0.652,0.728,-5.31,0.05,0.366,6.76e-05,0.186,0.347,139.976,183215
Reggaeton Drugs,04YIYmjQ0GeIq7QMsmdor0,0.694,0.747,-4.568,0.0434,0.226,0.000812,0.17,0.38,98.117,142000
Cafe Malibú,6uL89TPiBHaiIEhqK4sohb,0.739,0.582,-7.661,0.0469,0.349,0.0,0.123,0.575,130.04,260307
Moje kurtki mają ślady od bójki,1UPHMJXoblTbOlRyZcSouK,0.645,0.505,-6.819,0.081,0.568,0.0,0.241,0.546,125.637,144286
YOSHI,3LpfBL0gvszRxTGfts30Gk,0.679,0.807,-5.548,0.163,0.144,0.0,0.122,0.445,140.052,183429
Oko w purpurze,4ZdEogtof3ehe7gozPoUUH,0.704,0.739,-7.031,0.0949,0.147,0.000143,0.309,0.382,140.036,194571
VITAL,776kuXQSyuw7GsWz9lxus3,0.877,0.432,-10.556,0.0481,0.139,0.00559,0.113,0.466,119.986,164000
HUMO Y CAFÉ,1G9VEDrBkXR7YuTdDmzlfp,0.527,0.41,-10.989,0.154,0.0762,0.000138,0.119,0.397,195.897,176327
SE DEJA VER,4t1SjKqQGpejrR7JPCbRco,0.816,0.425,-10.735,0.151,0.724,0.00945,0.109,0.394,140.024,195429
Energy,21EMnhfPmznmRtXVAa7XVw,0.646,0.64,-9.635,0.0436,0.00927,0.909,0.111,0.116,124.004,407355
Energy - Raphael Mader Remix,4FUL4uq8rVwUbCT9VyDrq0,0.593,0.656,-10.845,0.039,0.126,0.887,0.0982,0.238,122.998,362576
In Your Eyes,7ekkXS4zj1yw1Kb9fMqC8v,0.712,0.672,-9.309,0.0538,0.111,0.883,0.0864,0.122,121.989,393449
Annihilate - Spider-Man: Across the Spider-Verse,6bRXONmpYZQOk8kj54FaRz,0.61,0.515,-6.363,0.0644,0.219,0.0,0.194,0.205,145.818,231747
Am I Dreaming,46631VBdAu3LkySeMIHJtd,0.593,0.538,-7.799,0.0386,0.0471,0.00189,0.184,0.128,90.088,256027
All The Way Live - Spider-Man: Across the Spider-Verse,2JHMRT2gvjh6P7ejierydm,0.772,0.54,-7.333,0.17,0.191,0.00243,0.216,0.326,134.994,245240
This Is Your Life - 2022 Remaster,1e8Td90ZGztGpK94FGC6Ud,0.716,0.773,-7.102,0.104,0.205,0.0,0.968,0.781,108.473,305413
My Lovin' (You're Never Gonna Get It) - 2022 Remaster,0tZV6SSI2K5Be9A6U64cXy,0.749,0.805,-6.287,0.0711,0.024,1.67e-05,0.0708,0.415,98.038,282493
Hip Hop Lover - 2022 Remaster,753FswwoGwf6lt06RRNAhr,0.903,0.595,-8.482,0.14,0.0216,1.14e-06,0.415,0.774,104.008,313627
No Te Sientes Igual,0TzPcGalV2nb2LqRNDk543,0.576,0.699,-8.627,0.0586,0.191,1.19e-05,0.168,0.367,89.973,180004
Triste,6JpUHnddHwv9cJ6sFD0nzM,0.702,0.62,-7.077,0.166,0.0477,3.03e-05,0.118,0.0669,123.008,221777
El Merengue,6lpGP2JvV7grJ8LBZ5obQS,0.775,0.677,-4.703,0.0442,0.0313,0.00517,0.112,0.698,124.011,189357
Intro,1PPmg6kVul7vWToAv8QiNQ,0.723,0.725,-9.206,0.46,0.581,0.0,0.108,0.736,94.899,159585
100 problemas (feat. Foyone),3DtGkVAmRvhlYpEmfVDICa,0.719,0.728,-6.434,0.284,0.0867,0.0,0.208,0.332,91.848,194000
Hasta Cuando,4SAy4v0GtZaRxSCvvzTJaO,0.588,0.598,-7.692,0.139,0.158,0.0,0.0664,0.265,95.645,199596
Don't Give Up On Us,53lzKjlVaL7iyFwp1bphde,0.798,0.778,-6.428,0.0881,0.0452,0.000116,0.112,0.34,111.955,201795
Heights,0jhAsw5bb1pKJNO1XJV5Gs,0.698,0.663,-7.318,0.0498,0.35,1.67e-05,0.112,0.599,104.977,217103
Spaceman,0VxCttf0en2xoROcwVE0Mt,0.548,0.601,-7.366,0.235,0.324,0.0,0.107,0.358,155.554,197000
Jonesboro,3sSlrxRD9X1jYCzBtbbiwg,0.567,0.66,-6.357,0.317,0.51,1.14e-05,0.186,0.262,108.81,163800
Mad Dog,332TO0w5iJ8h4h55Qq5a0R,0.639,0.519,-6.334,0.238,0.00927,0.0,0.197,0.359,160.404,229000
Uncle M,2BR4cE9udCDcvZ2HtuLv3N,0.699,0.62,-6.664,0.069,0.0153,0.0,0.213,0.266,142.104,140000
OBVIO,5el1yANyqhFWsjLWGYpcTZ,0.83,0.535,-5.223,0.282,0.152,0.0,0.181,0.591,84.053,162448
LA FALDA,7iUtQNMRB8ZkKC4AmEuCJC,0.8,0.738,-4.26,0.0691,0.372,0.00877,0.19,0.267,103.008,174230
COSMETICOS,139mO3ryLnLwrO5hQMgWqM,0.775,0.742,-4.398,0.247,0.48,1.33e-05,0.109,0.421,179.909,141863
Disco Tool (Taiki Nulight Remix),6NxT9CHTUZx8BkOh6gCEvh,0.811,0.759,-6.822,0.0467,0.000847,0.774,0.0551,0.423,126.049,217143
Disco Tool (San Pacho Tech Mix),655bVyFYERoWAPacZHEu97,0.787,0.934,-4.168,0.0545,0.00226,0.495,0.0827,0.666,124.953,182400
Disco Tool (David Herrlich Remix),1E90LzSUR4Hsfk3YeCwB7w,0.682,0.923,-7.109,0.0608,0.00177,0.364,0.135,0.596,128.004,191654
Al Borde,6JUbK7UNcxnbvQjsK07iyY,0.507,0.486,-10.189,0.0732,0.697,9.37e-06,0.203,0.259,120.0,168364
404,50VdSueNXcsf4hz7XUDmeG,0.764,0.631,-7.049,0.128,0.433,4.14e-06,0.0993,0.252,99.991,201421
Islandia,4gD1joqaW2otfaUMShb4JR,0.581,0.515,-10.422,0.0332,0.49,0.0,0.0928,0.558,150.267,220808
Novella,7fwo5HLXjnGH2k5jXvCrO2,0.361,0.154,-16.361,0.0354,0.949,0.979,0.0962,0.0625,116.028,211960
Starry Night,2CHU4jx0WDXqgid08iZOB6,0.432,0.137,-17.478,0.0294,0.97,0.937,0.0775,0.128,143.896,298320
Imbre,7Hg78pZZGdlI41pst7Fu8g,0.453,0.212,-14.072,0.0317,0.857,0.919,0.0888,0.0772,127.883,230000
Count on Me (Intro),0j2Lt5qaqEobvoqrqpJlp7,0.605,0.528,-6.89,0.0931,0.661,8.81e-05,0.137,0.299,79.953,126508
Baby,3BwIj2cR0kfw72weUiTBaV,0.931,0.55,-8.632,0.192,0.0623,0.0,0.25,0.621,132.103,162443
Dead Shot (with Lil Uzi Vert),0PjHA8ONcsmsZ1uuJocHvk,0.837,0.654,-4.606,0.274,0.0431,0.0,0.172,0.35,151.2,181355
Antisocial,6NyZ2yToUkVN9EqDrf1IiT,0.854,0.648,-4.082,0.298,0.16,5.35e-05,0.123,0.358,91.989,166957
La 40 Pa' Cuidarte,7FDw1iCGQk8rRBzRQnBgws,0.807,0.679,-4.579,0.185,0.574,3.69e-05,0.131,0.12,97.037,141699
Sexting,4TRbfD98ZO6ASeruZ66OL0,0.681,0.59,-7.492,0.11,0.716,0.0,0.197,0.443,89.819,212667
Feels Different,0HzOhZUf3Ew4x1sMTFU3SP,0.602,0.551,-8.489,0.14,0.458,0.000984,0.234,0.235,95.077,176361
Somebody's Waiting,7MeJ8GQz5nUxjrai6tEf3J,0.392,0.543,-6.492,0.0438,0.601,0.000277,0.228,0.264,89.849,181721
Christmas Party for Two,17k57GBQgEC9rfhsgepOoi,0.465,0.487,-7.743,0.0361,0.69,2.66e-05,0.103,0.269,134.515,234481
PLAYA X PLAYA,433JQzP71mim8tYkCI2cxV,0.735,0.691,-5.917,0.0424,0.291,0.000319,0.12,0.624,100.048,159300
LACOSTA,3vr9p7j0IAhkj6xCVvSZup,0.696,0.621,-6.917,0.313,0.593,2.05e-06,0.283,0.587,93.031,176181
NUBES,22lIkwvJzk9TmHERxDvR1H,0.633,0.594,-11.337,0.311,0.733,0.0,0.104,0.724,92.407,214703
EL CIELO,463VPNMkJAbRUFYlEf8NMJ,0.761,0.596,-6.892,0.171,0.484,0.0,0.0641,0.516,91.979,265918
Fueled Up,30bmc9ZRhqi4l9JrOADsV0,0.472,0.594,-6.47,0.0357,0.502,0.0,0.136,0.291,143.104,188751
Patty Cake (feat. Takeoff),485mSqbTvp0pdiK0UW2wbt,0.833,0.695,-5.395,0.18,0.0655,0.0,0.356,0.455,144.08,133289
Mama Told Me,69pERsAEF1iG84e1CxZJod,0.753,0.495,-6.031,0.035,0.0951,0.000247,0.135,0.216,119.99,145045
Es Lo Que Hay,29VRZu5HMBhWL6sjCNlQNg,0.798,0.711,-5.807,0.0337,0.0032,0.000216,0.27,0.871,111.991,175995
El De Ayer,3OthGtHSUT61p4BecCygTy,0.804,0.386,-8.043,0.0698,0.0399,0.0,0.137,0.423,125.103,163410
Otra Vez,4j5Iv7DFTUTEw8JCG7en1P,0.672,0.848,-4.176,0.0353,0.0048,0.0,0.0866,0.86,128.002,187744
MAN$ION,6zsvDXNgIPcnfXsAceGkLH,0.853,0.729,-4.308,0.081,0.0897,0.0,0.058,0.674,124.04,160409
Luz Verde,3iKdQ7C5XliDWw5JIUIfbc,0.648,0.5,-5.997,0.0388,0.00882,0.0,0.421,0.199,93.983,180159
Bad B*tches,3XQlzdBYy7aXYwdD82WSu7,0.708,0.686,-5.471,0.0566,0.159,0.0,0.101,0.591,165.029,154182
Rockstar Made,3cWmqvMwVQKDigWLSZ3w9h,0.773,0.612,-5.73,0.232,0.0398,0.0,0.142,0.381,149.999,193575
Go2DaMoon (feat. Kanye West),0F13K9dwYH2zpTWiR8d628,0.693,0.434,-8.786,0.385,0.204,0.0,0.277,0.542,147.066,119738
Stop Breathing,2lLG56qpLP3UbcLuzMvkWX,0.856,0.57,-4.486,0.286,0.00637,0.0,0.0984,0.155,154.967,218943
Tóxicos,7cu5mthywk97LwG4V463on,0.852,0.814,-5.1,0.0896,0.0179,3.11e-05,0.455,0.415,97.984,151317
Bien Arrebatao,0Qb6O6yQvUZZSZTs2PVYsI,0.763,0.739,-5.853,0.0726,0.022,1.16e-05,0.152,0.757,179.983,212385
Perriando,3qwB1GLNMogyktLqN5ANBE,0.661,0.656,-7.27,0.148,0.0822,0.0,0.109,0.241,92.986,187363
I Love You,4zsN5MrNCnANOwyfXlIRcC,0.734,0.817,-4.479,0.201,0.185,4.08e-06,0.165,0.768,168.076,181496
Se Va,6yTPAzXmuvE5E4J7zfUKIu,0.766,0.849,-1.987,0.0352,0.0303,0.0,0.215,0.863,128.981,199320
Tímida,3jztoVZMBEaTX0bJDJREUB,0.719,0.893,-5.214,0.0697,0.116,1.49e-06,0.0838,0.903,176.001,221933
Tangerine Trees,6g1q2DC2q09TvLbmkYkGko,0.606,0.624,-8.249,0.0249,0.0357,0.0131,0.115,0.783,97.933,152853
Right Time,7MbvOJSDQNB2HWFGLcMWyp,0.627,0.531,-9.562,0.023,0.425,0.000199,0.123,0.874,76.025,173373
Your Kiss,1iOB2whhdE8L8tspsrOQcL,0.494,0.286,-10.411,0.031,0.658,0.00515,0.0976,0.171,98.942,206416
Nothing Ever Changes - Mixed,1LYTsT3oNJpieujoCLyx7a,0.555,0.274,-23.547,0.0715,0.991,0.966,0.103,0.746,166.998,42749
Ochen - Mixed,6Vrm248bAGYOd6XSt3XB7c,0.818,0.673,-17.49,0.0956,0.711,0.879,0.114,0.418,134.024,79251
We Fall - Mixed,59g25pTsw9cZhSyn9UMXhy,0.583,0.807,-16.123,0.0515,0.0265,0.856,0.119,0.328,134.245,318234
Snowman Pt. 1 - Lofi Soundscape,6WrVjGhIm749e1rMEhYZbY,0.517,0.424,-16.001,0.0342,0.172,0.847,0.133,0.288,80.013,140870
Snowman Pt. 2 - Lofi Soundscape,3p4EFYuQGYofKSZL5HeIUi,0.505,0.445,-13.556,0.0306,0.104,0.779,0.144,0.37,159.966,179410
Snowman Pt. 3 - Lofi Soundscape,13nUQUsqIiqFyunTYurMIN,0.56,0.446,-14.127,0.0354,0.115,0.767,0.155,0.306,160.037,204721
Winner,3FEMjjoFRddZFkRqvgVzwW,0.63,0.536,-8.549,0.0312,0.000255,9.39e-06,0.154,0.0987,92.972,165281
I Apologize,0e64VMVgTH94gBD2EUlGP1,0.656,0.785,-8.944,0.0461,0.165,0.000607,0.607,0.143,115.027,156000
Still Feel (feat. Ailbhe Reddy) - ESSEL Remix Radio Edit,4ajpGKQETGGKXZIoHAUUGK,0.606,0.773,-8.451,0.0321,0.000662,0.0866,0.165,0.359,123.995,176129
Still Feel (feat. Ailbhe Reddy) - ESSEL Remix,5EUlFIaIRbTVsxRWeKV0qL,0.665,0.588,-8.531,0.032,0.000273,0.269,0.249,0.583,123.981,234194
Tu veneno,70GgHLoMnMYrN2r8JUpCaB,0.715,0.758,-6.847,0.0579,0.449,0.0,0.103,0.764,149.988,213000
SIN TI,3lOwIYFB2jkHXKk9n9CeXQ,0.791,0.769,-5.107,0.0852,0.368,0.0,0.0989,0.362,103.029,218000
Ni bien ni mal,60Ol2BUfD1wr0cqM4aDjYw,0.719,0.759,-6.379,0.0449,0.303,0.0,0.175,0.43,95.035,186000
Astralis,56XvJOt7PJhpGdZat5gwBf,0.796,0.458,-13.69,0.0796,0.000282,0.892,0.0983,0.17,125.003,462720
Northern Lights,6XNBYLafAnjLgJsQGDIvuI,0.804,0.813,-7.633,0.0427,0.000153,0.923,0.104,0.14,125.009,462720
Just Do It,2Nyu250YEqbgzVSuxpq0V5,0.778,0.595,-10.714,0.0568,0.000806,0.889,0.105,0.42,125.012,481920
Ketuvim,2Bxn2GOHx3oxPLAgCkfsxY,0.79,0.57,-9.978,0.0594,0.117,0.848,0.119,0.716,123.993,308000
A Course In Miracles,1R6LtnRNB7l9M0H3vcyzxn,0.78,0.553,-10.325,0.131,0.0374,0.81,0.111,0.194,125.046,277500
Power Of Detachment,1dGyr5lx5pApMOgaVj2n4L,0.686,0.858,-8.528,0.043,0.0445,0.709,0.102,0.0728,123.982,325500
We Rock,7r6ubHsaieaig4kORmmsDy,0.638,0.953,-3.491,0.11,0.00635,0.0,0.12,0.799,143.849,190933
