id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0V0jxLGonu3pJV6hOl8CSK,0.658,0.632,8,-8.492,1,0.0298,0.748,7.33e-05,0.169,0.464,135.924,194277
4OZoyD5m8Mrc0CMsAxBCU6,0.622,0.666,5,-10.786,1,0.0423,0.641,8.63e-05,0.513,0.52,126.934,226757
0qZ03ABKZsGbGhvh1zbbil,0.33,0.777,6,-6.316,1,0.0838,0.00315,0.00227,0.167,0.236,114.309,227478
6Pd8HUW71iIjalkxJbo8FP,0.369,0.977,7,-3.39,1,0.104,4.62e-05,0.000829,0.41,0.173,107.779,226187
1SrfJ6mbvp7BP7hD3DlnMZ,0.687,0.611,8,-4.318,0,0.109,0.0768,6.84e-06,0.0687,0.865,175.848,159545
2DYyTfBW8yCSBJYhOJpzrZ,0.827,0.548,0,-5.282,1,0.0388,0.156,0.0,0.138,0.826,99.963,176400
06Ai8dZD0uzErNjvGSu3Q4,0.77,0.706,7,-4.602,1,0.0417,0.0436,0.0,0.158,0.548,95.001,156632
1wnRsXo9tSvj60Vbc6C7A2,0.502,0.701,0,-6.679,0,0.405,0.448,0.0,0.329,0.974,50.369,41304
7bhR82JEE9bcX8iphymGme,0.604,0.592,5,-7.263,0,0.0944,0.312,0.000424,0.269,0.583,89.75,196697
1v4zEkTJxtQJJCEY5e2V0z,0.373,0.305,3,-7.372,1,0.0272,0.879,0.0,0.162,0.178,73.868,161973
291cT7iO5eaC3dOHijXpNq,0.791,0.895,6,-4.801,0,0.0479,0.362,0.0,0.0916,0.617,106.535,126827
4NriDV8ZSzofrEtMeTmPrT,0.717,0.831,2,-4.886,1,0.0372,0.237,0.0,0.659,0.772,150.123,231080
35jo7lz8cVF0H6BsOYAa4b,0.563,0.914,4,-4.144,0,0.297,0.0324,0.0,0.108,0.723,97.211,89090
3T7nRUuSsHp3UXtNZCuBZB,0.541,0.833,3,-4.598,1,0.0485,0.00508,0.0,0.0914,0.663,145.098,140704
2tpK15UgCYuy9uxdOTQ3jK,0.787,0.813,1,-3.264,0,0.0781,0.0256,0.000216,0.0877,0.752,92.018,172347
6ZfIhxGo897yzHG4lac6fh,0.856,0.718,0,-5.647,1,0.0488,0.038,0.0,0.0697,0.829,122.019,165533
5ONDwiSzjziWVwmxRZCen6,0.573,0.551,0,-7.535,1,0.0335,0.0502,0.0,0.124,0.19,129.932,235698
4ggiDYAkJ7Yk8d5xOr7Xjo,0.777,0.782,0,-4.435,0,0.0907,0.0505,0.0,0.64,0.773,94.023,221653
4yVO0wOhXsZC1RuPgHP524,0.678,0.806,1,-3.334,1,0.0648,0.0464,0.0,0.0673,0.614,183.984,227480
6MkTFseEn2UhjYAowVs9d3,0.881,0.727,11,-4.679,1,0.101,0.0166,0.0,0.135,0.685,98.027,194375
0xXcflv5A5PaUV5JMLpBa0,0.516,0.953,4,-5.886,1,0.484,0.541,0.777,0.142,0.963,142.948,25036
